{ l: 0, r: 0, arr: [ 4 ], sum: 4 }
{ l: 65, r: 5, arr: [], sum: NaN }
{ l: 66, r: 5, arr: [], sum: NaN }
{ l: 67, r: 5, arr: [], sum: NaN }
{ l: 68, r: 5, arr: [], sum: NaN }
{ l: 69, r: 5, arr: [], sum: NaN }
{ l: 70, r: 5, arr: [], sum: NaN }
{ l: 71, r: 5, arr: [], sum: NaN }
{ l: 72, r: 5, arr: [], sum: NaN }
{ l: 73, r: 5, arr: [], sum: NaN }
{ l: 74, r: 5, arr: [], sum: NaN }
{ l: 75, r: 5, arr: [], sum: NaN }
{ l: 76, r: 5, arr: [], sum: NaN }
{ l: 77, r: 5, arr: [], sum: NaN }
{ l: 78, r: 5, arr: [], sum: NaN }
{ l: 79, r: 5, arr: [], sum: NaN }
{ l: 80, r: 5, arr: [], sum: NaN }
{ l: 81, r: 5, arr: [], sum: NaN }
{ l: 82, r: 5, arr: [], sum: NaN }
{ l: 83, r: 5, arr: [], sum: NaN }
{ l: 84, r: 5, arr: [], sum: NaN }
{ l: 85, r: 5, arr: [], sum: NaN }
{ l: 86, r: 5, arr: [], sum: NaN }
{ l: 87, r: 5, arr: [], sum: NaN }
{ l: 88, r: 5, arr: [], sum: NaN }
{ l: 89, r: 5, arr: [], sum: NaN }
{ l: 90, r: 5, arr: [], sum: NaN }
{ l: 91, r: 5, arr: [], sum: NaN }
{ l: 92, r: 5, arr: [], sum: NaN }
{ l: 93, r: 5, arr: [], sum: NaN }
{ l: 94, r: 5, arr: [], sum: NaN }
{ l: 95, r: 5, arr: [], sum: NaN }
{ l: 96, r: 5, arr: [], sum: NaN }
{ l: 97, r: 5, arr: [], sum: NaN }
{ l: 98, r: 5, arr: [], sum: NaN }
{ l: 99, r: 5, arr: [], sum: NaN }
{ l: 100, r: 5, arr: [], sum: NaN }
{ l: 101, r: 5, arr: [], sum: NaN }
{ l: 102, r: 5, arr: [], sum: NaN }
{ l: 103, r: 5, arr: [], sum: NaN }
{ l: 104, r: 5, arr: [], sum: NaN }
{ l: 105, r: 5, arr: [], sum: NaN }
{ l: 106, r: 5, arr: [], sum: NaN }
{ l: 107, r: 5, arr: [], sum: NaN }
{ l: 108, r: 5, arr: [], sum: NaN }
{ l: 109, r: 5, arr: [], sum: NaN }
{ l: 110, r: 5, arr: [], sum: NaN }
{ l: 111, r: 5, arr: [], sum: NaN }
{ l: 112, r: 5, arr: [], sum: NaN }
{ l: 113, r: 5, arr: [], sum: NaN }
{ l: 114, r: 5, arr: [], sum: NaN }
{ l: 115, r: 5, arr: [], sum: NaN }
{ l: 116, r: 5, arr: [], sum: NaN }
{ l: 117, r: 5, arr: [], sum: NaN }
{ l: 118, r: 5, arr: [], sum: NaN }
{ l: 119, r: 5, arr: [], sum: NaN }
{ l: 120, r: 5, arr: [], sum: NaN }
{ l: 121, r: 5, arr: [], sum: NaN }
{ l: 122, r: 5, arr: [], sum: NaN }
{ l: 123, r: 5, arr: [], sum: NaN }
{ l: 124, r: 5, arr: [], sum: NaN }
{ l: 125, r: 5, arr: [], sum: NaN }
{ l: 126, r: 5, arr: [], sum: NaN }
{ l: 127, r: 5, arr: [], sum: NaN }
{ l: 128, r: 5, arr: [], sum: NaN }
{ l: 129, r: 5, arr: [], sum: NaN }
{ l: 130, r: 5, arr: [], sum: NaN }
{ l: 131, r: 5, arr: [], sum: NaN }
{ l: 132, r: 5, arr: [], sum: NaN }
{ l: 133, r: 5, arr: [], sum: NaN }
{ l: 134, r: 5, arr: [], sum: NaN }
{ l: 135, r: 5, arr: [], sum: NaN }
{ l: 136, r: 5, arr: [], sum: NaN }
{ l: 137, r: 5, arr: [], sum: NaN }
{ l: 138, r: 5, arr: [], sum: NaN }
{ l: 139, r: 5, arr: [], sum: NaN }
{ l: 140, r: 5, arr: [], sum: NaN }
{ l: 141, r: 5, arr: [], sum: NaN }
{ l: 142, r: 5, arr: [], sum: NaN }
{ l: 143, r: 5, arr: [], sum: NaN }
{ l: 144, r: 5, arr: [], sum: NaN }
{ l: 145, r: 5, arr: [], sum: NaN }
{ l: 146, r: 5, arr: [], sum: NaN }
{ l: 147, r: 5, arr: [], sum: NaN }
{ l: 148, r: 5, arr: [], sum: NaN }
{ l: 149, r: 5, arr: [], sum: NaN }
{ l: 150, r: 5, arr: [], sum: NaN }
{ l: 151, r: 5, arr: [], sum: NaN }
{ l: 152, r: 5, arr: [], sum: NaN }
{ l: 153, r: 5, arr: [], sum: NaN }
{ l: 154, r: 5, arr: [], sum: NaN }
{ l: 155, r: 5, arr: [], sum: NaN }
{ l: 156, r: 5, arr: [], sum: NaN }
{ l: 157, r: 5, arr: [], sum: NaN }
{ l: 158, r: 5, arr: [], sum: NaN }
{ l: 159, r: 5, arr: [], sum: NaN }
{ l: 160, r: 5, arr: [], sum: NaN }
{ l: 161, r: 5, arr: [], sum: NaN }
{ l: 162, r: 5, arr: [], sum: NaN }
{ l: 163, r: 5, arr: [], sum: NaN }
{ l: 164, r: 5, arr: [], sum: NaN }
{ l: 165, r: 5, arr: [], sum: NaN }
{ l: 166, r: 5, arr: [], sum: NaN }
{ l: 167, r: 5, arr: [], sum: NaN }
{ l: 168, r: 5, arr: [], sum: NaN }
{ l: 169, r: 5, arr: [], sum: NaN }
{ l: 170, r: 5, arr: [], sum: NaN }
{ l: 171, r: 5, arr: [], sum: NaN }
{ l: 172, r: 5, arr: [], sum: NaN }
{ l: 173, r: 5, arr: [], sum: NaN }
{ l: 174, r: 5, arr: [], sum: NaN }
{ l: 175, r: 5, arr: [], sum: NaN }
{ l: 176, r: 5, arr: [], sum: NaN }
{ l: 177, r: 5, arr: [], sum: NaN }
{ l: 178, r: 5, arr: [], sum: NaN }
{ l: 179, r: 5, arr: [], sum: NaN }
{ l: 180, r: 5, arr: [], sum: NaN }
{ l: 181, r: 5, arr: [], sum: NaN }
{ l: 182, r: 5, arr: [], sum: NaN }
{ l: 183, r: 5, arr: [], sum: NaN }
{ l: 184, r: 5, arr: [], sum: NaN }
{ l: 185, r: 5, arr: [], sum: NaN }
{ l: 186, r: 5, arr: [], sum: NaN }
{ l: 187, r: 5, arr: [], sum: NaN }
{ l: 188, r: 5, arr: [], sum: NaN }
{ l: 189, r: 5, arr: [], sum: NaN }
{ l: 190, r: 5, arr: [], sum: NaN }
{ l: 191, r: 5, arr: [], sum: NaN }
{ l: 192, r: 5, arr: [], sum: NaN }
{ l: 193, r: 5, arr: [], sum: NaN }
{ l: 194, r: 5, arr: [], sum: NaN }
{ l: 195, r: 5, arr: [], sum: NaN }
{ l: 196, r: 5, arr: [], sum: NaN }
{ l: 197, r: 5, arr: [], sum: NaN }
{ l: 198, r: 5, arr: [], sum: NaN }
{ l: 199, r: 5, arr: [], sum: NaN }
{ l: 200, r: 5, arr: [], sum: NaN }
{ l: 201, r: 5, arr: [], sum: NaN }
{ l: 202, r: 5, arr: [], sum: NaN }
{ l: 203, r: 5, arr: [], sum: NaN }
{ l: 204, r: 5, arr: [], sum: NaN }
{ l: 205, r: 5, arr: [], sum: NaN }
{ l: 206, r: 5, arr: [], sum: NaN }
{ l: 207, r: 5, arr: [], sum: NaN }
{ l: 208, r: 5, arr: [], sum: NaN }
{ l: 209, r: 5, arr: [], sum: NaN }
{ l: 210, r: 5, arr: [], sum: NaN }
{ l: 211, r: 5, arr: [], sum: NaN }
{ l: 212, r: 5, arr: [], sum: NaN }
{ l: 213, r: 5, arr: [], sum: NaN }
{ l: 214, r: 5, arr: [], sum: NaN }
{ l: 215, r: 5, arr: [], sum: NaN }
{ l: 216, r: 5, arr: [], sum: NaN }
{ l: 217, r: 5, arr: [], sum: NaN }
{ l: 218, r: 5, arr: [], sum: NaN }
{ l: 219, r: 5, arr: [], sum: NaN }
{ l: 220, r: 5, arr: [], sum: NaN }
{ l: 221, r: 5, arr: [], sum: NaN }
{ l: 222, r: 5, arr: [], sum: NaN }
{ l: 223, r: 5, arr: [], sum: NaN }
{ l: 224, r: 5, arr: [], sum: NaN }
{ l: 225, r: 5, arr: [], sum: NaN }
{ l: 226, r: 5, arr: [], sum: NaN }
{ l: 227, r: 5, arr: [], sum: NaN }
{ l: 228, r: 5, arr: [], sum: NaN }
{ l: 229, r: 5, arr: [], sum: NaN }
{ l: 230, r: 5, arr: [], sum: NaN }
{ l: 231, r: 5, arr: [], sum: NaN }
{ l: 232, r: 5, arr: [], sum: NaN }
{ l: 233, r: 5, arr: [], sum: NaN }
{ l: 234, r: 5, arr: [], sum: NaN }
{ l: 235, r: 5, arr: [], sum: NaN }
{ l: 236, r: 5, arr: [], sum: NaN }
{ l: 237, r: 5, arr: [], sum: NaN }
{ l: 238, r: 5, arr: [], sum: NaN }
{ l: 239, r: 5, arr: [], sum: NaN }
{ l: 240, r: 5, arr: [], sum: NaN }
{ l: 241, r: 5, arr: [], sum: NaN }
{ l: 242, r: 5, arr: [], sum: NaN }
{ l: 243, r: 5, arr: [], sum: NaN }
{ l: 244, r: 5, arr: [], sum: NaN }
{ l: 245, r: 5, arr: [], sum: NaN }
{ l: 246, r: 5, arr: [], sum: NaN }
{ l: 247, r: 5, arr: [], sum: NaN }
{ l: 248, r: 5, arr: [], sum: NaN }
{ l: 249, r: 5, arr: [], sum: NaN }
{ l: 250, r: 5, arr: [], sum: NaN }
{ l: 251, r: 5, arr: [], sum: NaN }
{ l: 252, r: 5, arr: [], sum: NaN }
{ l: 253, r: 5, arr: [], sum: NaN }
{ l: 254, r: 5, arr: [], sum: NaN }
{ l: 255, r: 5, arr: [], sum: NaN }
{ l: 256, r: 5, arr: [], sum: NaN }
{ l: 257, r: 5, arr: [], sum: NaN }
{ l: 258, r: 5, arr: [], sum: NaN }
{ l: 259, r: 5, arr: [], sum: NaN }
{ l: 260, r: 5, arr: [], sum: NaN }
{ l: 261, r: 5, arr: [], sum: NaN }
{ l: 262, r: 5, arr: [], sum: NaN }
{ l: 263, r: 5, arr: [], sum: NaN }
{ l: 264, r: 5, arr: [], sum: NaN }
{ l: 265, r: 5, arr: [], sum: NaN }
{ l: 266, r: 5, arr: [], sum: NaN }
{ l: 267, r: 5, arr: [], sum: NaN }
{ l: 268, r: 5, arr: [], sum: NaN }
{ l: 269, r: 5, arr: [], sum: NaN }
{ l: 270, r: 5, arr: [], sum: NaN }
{ l: 271, r: 5, arr: [], sum: NaN }
{ l: 272, r: 5, arr: [], sum: NaN }
{ l: 273, r: 5, arr: [], sum: NaN }
{ l: 274, r: 5, arr: [], sum: NaN }
{ l: 275, r: 5, arr: [], sum: NaN }
{ l: 276, r: 5, arr: [], sum: NaN }
{ l: 277, r: 5, arr: [], sum: NaN }
{ l: 278, r: 5, arr: [], sum: NaN }
{ l: 279, r: 5, arr: [], sum: NaN }
{ l: 280, r: 5, arr: [], sum: NaN }
{ l: 281, r: 5, arr: [], sum: NaN }
{ l: 282, r: 5, arr: [], sum: NaN }
{ l: 283, r: 5, arr: [], sum: NaN }
{ l: 284, r: 5, arr: [], sum: NaN }
{ l: 285, r: 5, arr: [], sum: NaN }
{ l: 286, r: 5, arr: [], sum: NaN }
{ l: 287, r: 5, arr: [], sum: NaN }
{ l: 288, r: 5, arr: [], sum: NaN }
{ l: 289, r: 5, arr: [], sum: NaN }
{ l: 290, r: 5, arr: [], sum: NaN }
{ l: 291, r: 5, arr: [], sum: NaN }
{ l: 292, r: 5, arr: [], sum: NaN }
{ l: 293, r: 5, arr: [], sum: NaN }
{ l: 294, r: 5, arr: [], sum: NaN }
{ l: 295, r: 5, arr: [], sum: NaN }
{ l: 296, r: 5, arr: [], sum: NaN }
{ l: 297, r: 5, arr: [], sum: NaN }
{ l: 298, r: 5, arr: [], sum: NaN }
{ l: 299, r: 5, arr: [], sum: NaN }
{ l: 300, r: 5, arr: [], sum: NaN }
{ l: 301, r: 5, arr: [], sum: NaN }
{ l: 302, r: 5, arr: [], sum: NaN }
{ l: 303, r: 5, arr: [], sum: NaN }
{ l: 304, r: 5, arr: [], sum: NaN }
{ l: 305, r: 5, arr: [], sum: NaN }
{ l: 306, r: 5, arr: [], sum: NaN }
{ l: 307, r: 5, arr: [], sum: NaN }
{ l: 308, r: 5, arr: [], sum: NaN }
{ l: 309, r: 5, arr: [], sum: NaN }
{ l: 310, r: 5, arr: [], sum: NaN }
{ l: 311, r: 5, arr: [], sum: NaN }
{ l: 312, r: 5, arr: [], sum: NaN }
{ l: 313, r: 5, arr: [], sum: NaN }
{ l: 314, r: 5, arr: [], sum: NaN }
{ l: 315, r: 5, arr: [], sum: NaN }
{ l: 316, r: 5, arr: [], sum: NaN }
{ l: 317, r: 5, arr: [], sum: NaN }
{ l: 318, r: 5, arr: [], sum: NaN }
{ l: 319, r: 5, arr: [], sum: NaN }
{ l: 320, r: 5, arr: [], sum: NaN }
{ l: 321, r: 5, arr: [], sum: NaN }
{ l: 322, r: 5, arr: [], sum: NaN }
{ l: 323, r: 5, arr: [], sum: NaN }
{ l: 324, r: 5, arr: [], sum: NaN }
{ l: 325, r: 5, arr: [], sum: NaN }
{ l: 326, r: 5, arr: [], sum: NaN }
{ l: 327, r: 5, arr: [], sum: NaN }
{ l: 328, r: 5, arr: [], sum: NaN }
{ l: 329, r: 5, arr: [], sum: NaN }
{ l: 330, r: 5, arr: [], sum: NaN }
{ l: 331, r: 5, arr: [], sum: NaN }
{ l: 332, r: 5, arr: [], sum: NaN }
{ l: 333, r: 5, arr: [], sum: NaN }
{ l: 334, r: 5, arr: [], sum: NaN }
{ l: 335, r: 5, arr: [], sum: NaN }
{ l: 336, r: 5, arr: [], sum: NaN }
{ l: 337, r: 5, arr: [], sum: NaN }
{ l: 338, r: 5, arr: [], sum: NaN }
{ l: 339, r: 5, arr: [], sum: NaN }
{ l: 340, r: 5, arr: [], sum: NaN }
{ l: 341, r: 5, arr: [], sum: NaN }
{ l: 342, r: 5, arr: [], sum: NaN }
{ l: 343, r: 5, arr: [], sum: NaN }
{ l: 344, r: 5, arr: [], sum: NaN }
{ l: 345, r: 5, arr: [], sum: NaN }
{ l: 346, r: 5, arr: [], sum: NaN }
{ l: 347, r: 5, arr: [], sum: NaN }
{ l: 348, r: 5, arr: [], sum: NaN }
{ l: 349, r: 5, arr: [], sum: NaN }
{ l: 350, r: 5, arr: [], sum: NaN }
{ l: 351, r: 5, arr: [], sum: NaN }
{ l: 352, r: 5, arr: [], sum: NaN }
{ l: 353, r: 5, arr: [], sum: NaN }
{ l: 354, r: 5, arr: [], sum: NaN }
{ l: 355, r: 5, arr: [], sum: NaN }
{ l: 356, r: 5, arr: [], sum: NaN }
{ l: 357, r: 5, arr: [], sum: NaN }
{ l: 358, r: 5, arr: [], sum: NaN }
{ l: 359, r: 5, arr: [], sum: NaN }
{ l: 360, r: 5, arr: [], sum: NaN }
{ l: 361, r: 5, arr: [], sum: NaN }
{ l: 362, r: 5, arr: [], sum: NaN }
{ l: 363, r: 5, arr: [], sum: NaN }
{ l: 364, r: 5, arr: [], sum: NaN }
{ l: 365, r: 5, arr: [], sum: NaN }
{ l: 366, r: 5, arr: [], sum: NaN }
{ l: 367, r: 5, arr: [], sum: NaN }
{ l: 368, r: 5, arr: [], sum: NaN }
{ l: 369, r: 5, arr: [], sum: NaN }
{ l: 370, r: 5, arr: [], sum: NaN }
{ l: 371, r: 5, arr: [], sum: NaN }
{ l: 372, r: 5, arr: [], sum: NaN }
{ l: 373, r: 5, arr: [], sum: NaN }
{ l: 374, r: 5, arr: [], sum: NaN }
{ l: 375, r: 5, arr: [], sum: NaN }
{ l: 376, r: 5, arr: [], sum: NaN }
{ l: 377, r: 5, arr: [], sum: NaN }
{ l: 378, r: 5, arr: [], sum: NaN }
{ l: 379, r: 5, arr: [], sum: NaN }
{ l: 380, r: 5, arr: [], sum: NaN }
{ l: 381, r: 5, arr: [], sum: NaN }
{ l: 382, r: 5, arr: [], sum: NaN }
{ l: 383, r: 5, arr: [], sum: NaN }
{ l: 384, r: 5, arr: [], sum: NaN }
{ l: 385, r: 5, arr: [], sum: NaN }
{ l: 386, r: 5, arr: [], sum: NaN }
{ l: 387, r: 5, arr: [], sum: NaN }
{ l: 388, r: 5, arr: [], sum: NaN }
{ l: 389, r: 5, arr: [], sum: NaN }
{ l: 390, r: 5, arr: [], sum: NaN }
{ l: 391, r: 5, arr: [], sum: NaN }
{ l: 392, r: 5, arr: [], sum: NaN }
{ l: 393, r: 5, arr: [], sum: NaN }
{ l: 394, r: 5, arr: [], sum: NaN }
{ l: 395, r: 5, arr: [], sum: NaN }
{ l: 396, r: 5, arr: [], sum: NaN }
{ l: 397, r: 5, arr: [], sum: NaN }
{ l: 398, r: 5, arr: [], sum: NaN }
{ l: 399, r: 5, arr: [], sum: NaN }
{ l: 400, r: 5, arr: [], sum: NaN }
{ l: 401, r: 5, arr: [], sum: NaN }
{ l: 402, r: 5, arr: [], sum: NaN }
{ l: 403, r: 5, arr: [], sum: NaN }
{ l: 404, r: 5, arr: [], sum: NaN }
{ l: 405, r: 5, arr: [], sum: NaN }
{ l: 406, r: 5, arr: [], sum: NaN }
{ l: 407, r: 5, arr: [], sum: NaN }
{ l: 408, r: 5, arr: [], sum: NaN }
{ l: 409, r: 5, arr: [], sum: NaN }
{ l: 410, r: 5, arr: [], sum: NaN }
{ l: 411, r: 5, arr: [], sum: NaN }
{ l: 412, r: 5, arr: [], sum: NaN }
{ l: 413, r: 5, arr: [], sum: NaN }
{ l: 414, r: 5, arr: [], sum: NaN }
{ l: 415, r: 5, arr: [], sum: NaN }
{ l: 416, r: 5, arr: [], sum: NaN }
{ l: 417, r: 5, arr: [], sum: NaN }
{ l: 418, r: 5, arr: [], sum: NaN }
{ l: 419, r: 5, arr: [], sum: NaN }
{ l: 420, r: 5, arr: [], sum: NaN }
{ l: 421, r: 5, arr: [], sum: NaN }
{ l: 422, r: 5, arr: [], sum: NaN }
{ l: 423, r: 5, arr: [], sum: NaN }
{ l: 424, r: 5, arr: [], sum: NaN }
{ l: 425, r: 5, arr: [], sum: NaN }
{ l: 426, r: 5, arr: [], sum: NaN }
{ l: 427, r: 5, arr: [], sum: NaN }
{ l: 428, r: 5, arr: [], sum: NaN }
{ l: 429, r: 5, arr: [], sum: NaN }
{ l: 430, r: 5, arr: [], sum: NaN }
{ l: 431, r: 5, arr: [], sum: NaN }
{ l: 432, r: 5, arr: [], sum: NaN }
{ l: 433, r: 5, arr: [], sum: NaN }
{ l: 434, r: 5, arr: [], sum: NaN }
{ l: 435, r: 5, arr: [], sum: NaN }
{ l: 436, r: 5, arr: [], sum: NaN }
{ l: 437, r: 5, arr: [], sum: NaN }
{ l: 438, r: 5, arr: [], sum: NaN }
{ l: 439, r: 5, arr: [], sum: NaN }
{ l: 440, r: 5, arr: [], sum: NaN }
{ l: 441, r: 5, arr: [], sum: NaN }
{ l: 442, r: 5, arr: [], sum: NaN }
{ l: 443, r: 5, arr: [], sum: NaN }
{ l: 444, r: 5, arr: [], sum: NaN }
{ l: 445, r: 5, arr: [], sum: NaN }
{ l: 446, r: 5, arr: [], sum: NaN }
{ l: 447, r: 5, arr: [], sum: NaN }
{ l: 448, r: 5, arr: [], sum: NaN }
{ l: 449, r: 5, arr: [], sum: NaN }
{ l: 450, r: 5, arr: [], sum: NaN }
{ l: 451, r: 5, arr: [], sum: NaN }
{ l: 452, r: 5, arr: [], sum: NaN }
{ l: 453, r: 5, arr: [], sum: NaN }
{ l: 454, r: 5, arr: [], sum: NaN }
{ l: 455, r: 5, arr: [], sum: NaN }
{ l: 456, r: 5, arr: [], sum: NaN }
{ l: 457, r: 5, arr: [], sum: NaN }
{ l: 458, r: 5, arr: [], sum: NaN }
{ l: 459, r: 5, arr: [], sum: NaN }
{ l: 460, r: 5, arr: [], sum: NaN }
{ l: 461, r: 5, arr: [], sum: NaN }
{ l: 462, r: 5, arr: [], sum: NaN }
{ l: 463, r: 5, arr: [], sum: NaN }
{ l: 464, r: 5, arr: [], sum: NaN }
{ l: 465, r: 5, arr: [], sum: NaN }
{ l: 466, r: 5, arr: [], sum: NaN }
{ l: 467, r: 5, arr: [], sum: NaN }
{ l: 468, r: 5, arr: [], sum: NaN }
{ l: 469, r: 5, arr: [], sum: NaN }
{ l: 470, r: 5, arr: [], sum: NaN }
{ l: 471, r: 5, arr: [], sum: NaN }
{ l: 472, r: 5, arr: [], sum: NaN }
{ l: 473, r: 5, arr: [], sum: NaN }
{ l: 474, r: 5, arr: [], sum: NaN }
{ l: 475, r: 5, arr: [], sum: NaN }
{ l: 476, r: 5, arr: [], sum: NaN }
{ l: 477, r: 5, arr: [], sum: NaN }
{ l: 478, r: 5, arr: [], sum: NaN }
{ l: 479, r: 5, arr: [], sum: NaN }
{ l: 480, r: 5, arr: [], sum: NaN }
{ l: 481, r: 5, arr: [], sum: NaN }
{ l: 482, r: 5, arr: [], sum: NaN }
{ l: 483, r: 5, arr: [], sum: NaN }
{ l: 484, r: 5, arr: [], sum: NaN }
{ l: 485, r: 5, arr: [], sum: NaN }
{ l: 486, r: 5, arr: [], sum: NaN }
{ l: 487, r: 5, arr: [], sum: NaN }
{ l: 488, r: 5, arr: [], sum: NaN }
{ l: 489, r: 5, arr: [], sum: NaN }
{ l: 490, r: 5, arr: [], sum: NaN }
{ l: 491, r: 5, arr: [], sum: NaN }
{ l: 492, r: 5, arr: [], sum: NaN }
{ l: 493, r: 5, arr: [], sum: NaN }
{ l: 494, r: 5, arr: [], sum: NaN }
{ l: 495, r: 5, arr: [], sum: NaN }
{ l: 496, r: 5, arr: [], sum: NaN }
{ l: 497, r: 5, arr: [], sum: NaN }
{ l: 498, r: 5, arr: [], sum: NaN }
{ l: 499, r: 5, arr: [], sum: NaN }
{ l: 500, r: 5, arr: [], sum: NaN }
{ l: 501, r: 5, arr: [], sum: NaN }
{ l: 502, r: 5, arr: [], sum: NaN }
{ l: 503, r: 5, arr: [], sum: NaN }
{ l: 504, r: 5, arr: [], sum: NaN }
{ l: 505, r: 5, arr: [], sum: NaN }
{ l: 506, r: 5, arr: [], sum: NaN }
{ l: 507, r: 5, arr: [], sum: NaN }
{ l: 508, r: 5, arr: [], sum: NaN }
{ l: 509, r: 5, arr: [], sum: NaN }
{ l: 510, r: 5, arr: [], sum: NaN }
{ l: 511, r: 5, arr: [], sum: NaN }
{ l: 512, r: 5, arr: [], sum: NaN }
{ l: 513, r: 5, arr: [], sum: NaN }
{ l: 514, r: 5, arr: [], sum: NaN }
{ l: 515, r: 5, arr: [], sum: NaN }
{ l: 516, r: 5, arr: [], sum: NaN }
{ l: 517, r: 5, arr: [], sum: NaN }
{ l: 518, r: 5, arr: [], sum: NaN }
{ l: 519, r: 5, arr: [], sum: NaN }
{ l: 520, r: 5, arr: [], sum: NaN }
{ l: 521, r: 5, arr: [], sum: NaN }
{ l: 522, r: 5, arr: [], sum: NaN }
{ l: 523, r: 5, arr: [], sum: NaN }
{ l: 524, r: 5, arr: [], sum: NaN }
{ l: 525, r: 5, arr: [], sum: NaN }
{ l: 526, r: 5, arr: [], sum: NaN }
{ l: 527, r: 5, arr: [], sum: NaN }
{ l: 528, r: 5, arr: [], sum: NaN }
{ l: 529, r: 5, arr: [], sum: NaN }
{ l: 530, r: 5, arr: [], sum: NaN }
{ l: 531, r: 5, arr: [], sum: NaN }
{ l: 532, r: 5, arr: [], sum: NaN }
{ l: 533, r: 5, arr: [], sum: NaN }
{ l: 534, r: 5, arr: [], sum: NaN }
{ l: 535, r: 5, arr: [], sum: NaN }
{ l: 536, r: 5, arr: [], sum: NaN }
{ l: 537, r: 5, arr: [], sum: NaN }
{ l: 538, r: 5, arr: [], sum: NaN }
{ l: 539, r: 5, arr: [], sum: NaN }
{ l: 540, r: 5, arr: [], sum: NaN }
{ l: 541, r: 5, arr: [], sum: NaN }
{ l: 542, r: 5, arr: [], sum: NaN }
{ l: 543, r: 5, arr: [], sum: NaN }
{ l: 544, r: 5, arr: [], sum: NaN }
{ l: 545, r: 5, arr: [], sum: NaN }
{ l: 546, r: 5, arr: [], sum: NaN }
{ l: 547, r: 5, arr: [], sum: NaN }
{ l: 548, r: 5, arr: [], sum: NaN }
{ l: 549, r: 5, arr: [], sum: NaN }
